Region,City,Year,Country,Month,OriginalMonthlyValue,flight_trends,airbnb_trends,hotel_trends
La Rioja,Logroño,2022,Spain,September,157.766,0.0,0.0,26.25
La Rioja,Logroño,2022,Spain,October,138.827,0.0,2.0,23.2
La Rioja,Logroño,2022,Spain,November,88.399,0.0,0.0,20.75
La Rioja,Logroño,2022,Spain,December,84.331,0.0,0.5,16.75
La Rioja,Logroño,2023,Spain,January,51.303,0.0,1.0,19.6
La Rioja,Logroño,2023,Spain,February,76.302,0.0,1.25,25.0
La Rioja,Logroño,2023,Spain,March,94.365,0.0,2.0,22.25
La Rioja,Logroño,2023,Spain,April,162.312,0.0,2.4,23.0
La Rioja,Logroño,2023,Spain,May,142.523,0.0,0.0,22.25
La Rioja,Logroño,2023,Spain,June,155.338,0.0,2.0,21.75
La Rioja,Logroño,2023,Spain,July,232.787,0.0,1.4,25.2
La Rioja,Logroño,2023,Spain,August,289.860,0.0,1.5,25.25
La Rioja,Logroño,2023,Spain,September,167.280,0.0,2.0,25.5
La Rioja,Logroño,2023,Spain,October,148.574,0.0,0.8,21.8
La Rioja,Logroño,2023,Spain,November,99.569,0.0,1.75,18.75
La Rioja,Logroño,2023,Spain,December,95.947,0.0,0.0,17.0
La Rioja,Logroño,2024,Spain,January,53.303,0.0,0.0,21.25
